tiempo_s,RAM_MB,CPU_percent
0.016971826553344727,3.32421875,3.0
0.5220234394073486,3.32421875,0.0
1.0227842330932617,3.32421875,0.0
1.528151035308838,3.32421875,0.0
2.031683921813965,3.32421875,0.0
2.5356056690216064,3.32421875,0.0
3.0393638610839844,3.32421875,0.0
3.548569440841675,3.32421875,0.0
4.049307346343994,3.32421875,0.0
4.561591625213623,3.32421875,0.0
5.067835569381714,3.32421875,0.0
5.572708368301392,3.32421875,0.0
6.078526496887207,3.32421875,0.0
6.582725524902344,3.32421875,0.0
7.092248916625977,3.32421875,0.0
7.59299111366272,3.32421875,0.0
8.099048137664795,3.32421875,0.0
8.607940196990967,3.32421875,0.0
9.11455750465393,3.32421875,0.0
9.6159348487854,3.32421875,0.0
10.120469570159912,3.32421875,0.0
10.628320693969727,3.32421875,0.0
11.135023355484009,3.32421875,0.0
11.635591983795166,3.32421875,0.0
12.145350217819214,3.32421875,0.0
12.693897485733032,3.32421875,0.0
13.194780111312866,3.32421875,0.0
13.69854187965393,3.32421875,0.0
14.202130317687988,3.32421875,0.0
14.706417322158813,3.32421875,0.0
15.21058702468872,3.32421875,0.0
15.714566230773926,3.32421875,0.0
16.22372794151306,3.32421875,0.0
16.72466492652893,3.32421875,0.0
17.23133635520935,3.32421875,0.0
17.734915733337402,3.32421875,0.0
18.238975763320923,3.32421875,0.0
18.74288511276245,3.32421875,0.0
19.24680209159851,3.32421875,0.0
19.75035858154297,3.32421875,0.0
20.257236003875732,3.32421875,0.0
20.760371446609497,3.32421875,0.0
21.270490169525146,3.32421875,0.0
21.7711763381958,3.32421875,0.0
22.274871110916138,3.32421875,0.0
22.779362201690674,3.32421875,0.0
23.283390045166016,3.32421875,0.0
23.787904500961304,3.32421875,0.0
24.29191303253174,3.32421875,0.0
24.798054933547974,3.32421875,0.0
25.302605152130127,3.32421875,0.0
25.808493614196777,3.32421875,0.0
26.309321880340576,3.32421875,0.0
26.818228006362915,3.32421875,0.0
27.322871208190918,3.32421875,0.0
27.827180862426758,3.32421875,0.0
28.330918788909912,3.32421875,0.0
28.834511756896973,3.32421875,0.0
29.33846354484558,3.32421875,0.0
29.84207820892334,3.30078125,0.0
30.347774028778076,3.30078125,0.0
30.851458311080933,3.30078125,0.0
31.35949468612671,3.30078125,0.0
31.860089778900146,3.30078125,0.0
32.36614537239075,3.30078125,0.0
32.868295192718506,3.30078125,0.0
33.37253403663635,3.30078125,0.0
33.87695384025574,3.30078125,0.0
34.38071155548096,3.30078125,0.0
34.884369134902954,3.30078125,0.0
35.39189958572388,3.30078125,0.0
35.896507263183594,3.30078125,0.0
36.4051194190979,3.30078125,0.0
36.906424045562744,3.30078125,0.0
37.413172006607056,3.30078125,0.0
37.92198419570923,3.30078125,0.0
38.42559099197388,3.30078125,0.0
38.9283492565155,3.30078125,0.0
39.433244705200195,3.30078125,0.0
39.93753504753113,3.30078125,0.0
40.44168949127197,3.30078125,0.0
40.94623136520386,3.30078125,0.0
41.45072960853577,3.30078125,0.0
41.95686483383179,3.30078125,0.0
42.457956075668335,3.30078125,0.0
42.961347579956055,3.30078125,0.0
43.47083759307861,3.30078125,0.0
43.97205829620361,3.30078125,0.0
44.47712826728821,3.30078125,0.0
44.98759126663208,3.30078125,0.0
45.489455699920654,3.30078125,0.0
45.993634939193726,3.30078125,0.0
46.503703117370605,3.30078125,0.0
47.00565791130066,3.30078125,0.0
47.50882029533386,3.30078125,0.0
